tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore,species_pass_tick,species_pass_organisms,species_pass_near_other,species_pass_drifting,species_pass_isolated
31,1.0,451,12787,0,157,102,79,113,1,17.44,0.864,0.788,0.184,0.201,0.240,-0.048,1.584,0.3309,1.2739,0.788,0.420,0.187,0.101,-0.001,51,0,16,0,0,0,25240.80,1385.137,6624.052,37.341,25.315,16.236,2343.408,618.535,0.136,2408.122,1926.498,909.285,1779.878,86.982,0.000103,-0.000229,9,0,10,6,2,2,2814,0,6,1.726,612,47,31,4,0,25,2,622,74,63,5,0,58,0,1405,286,1,3055.630,2612.972,16.952,0.045,0.000,325.187,84.377,3.386,13,2,0,2,0,32,1503,247,2,2755.796,1599.878,5.304,0.000,0.000,289.347,96.152,2.138,9,0,0,0,0,0,1444,266,2,2950.241,926.994,2.646,1.021,0.000,307.527,81.428,3.294,4,2,0,2,0,29,1994,399,1,4359.478,772.473,0.390,8.065,1.397,467.274,128.656,9.020,7,4,0,4,0,101,1351,393,0,4960.000,316.487,0.000,6.929,0.287,294.733,79.892,4.614,3,2,0,2,0,48,1116,217,3,2391.795,22.938,0.024,19.557,0.041,244.478,75.943,8.263,0,0,0,0,0,0,1,0,0,0,4,2,0,0,1,0,0,1,0,0,0,0,0
61,2.0,478,11517,0,166,120,75,117,2,31.00,0.874,0.783,0.182,0.181,0.239,-0.102,1.566,0.3244,1.2440,0.820,0.470,0.192,0.101,-0.001,64,0,18,0,0,0,26293.22,1431.525,5891.203,38.021,48.145,20.559,2457.033,598.131,2.171,1775.450,1420.360,930.888,1835.163,129.859,0.000081,-0.000468,22,0,15,3,5,4,2890,9,3,5.871,495,30,24,5,0,17,1,614,107,107,6,0,101,0,1635,251,0,2600.000,2234.297,0.000,0.097,5.739,391.330,88.698,6.581,14,3,0,3,0,131,1658,244,3,2758.880,1611.027,21.015,0.000,0.000,327.741,97.878,5.954,12,4,0,4,0,201,1497,221,9,2927.740,930.868,17.663,0.000,0.000,325.379,81.793,4.695,3,2,0,2,0,85,1926,320,0,3275.000,587.268,0.000,13.440,0.000,451.257,116.549,9.951,2,0,0,0,0,0,1277,270,1,3899.615,250.326,0.097,8.409,0.130,280.579,71.508,3.396,2,1,0,1,0,34,996,189,0,2135.000,25.111,0.000,10.204,0.001,213.271,62.800,3.364,0,5,0,5,0,221,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
91,3.0,534,10266,0,168,167,73,126,2,38.70,0.898,0.774,0.165,0.170,0.221,-0.186,1.565,0.3370,1.2434,0.837,0.452,0.178,0.102,-0.001,80,0,9,0,0,0,28382.53,1503.440,7563.914,16.421,110.090,23.753,2719.831,661.220,4.074,2680.107,2144.085,399.316,2529.899,144.104,0.000135,0.000177,38,0,7,2,4,3,3504,27,2,4.935,462,35,33,3,0,28,2,780,211,198,1,0,195,2,2252,335,0,4210.000,3593.658,0.000,0.008,0.000,515.614,109.838,15.351,30,1,0,1,0,22,2072,282,5,3656.279,2055.120,20.880,0.000,3.798,421.329,112.662,16.310,20,1,0,1,0,82,1688,214,0,2847.500,912.341,0.000,0.000,0.000,367.908,90.582,9.982,9,0,0,0,0,0,1932,282,6,3220.345,552.428,13.059,1.562,1.137,453.834,119.002,5.148,1,3,0,3,0,223,1286,238,0,3307.500,221.801,0.000,3.235,0.000,280.787,75.004,2.478,1,2,0,2,0,138,930,161,0,1680.000,19.073,0.000,6.680,0.000,201.775,55.587,3.493,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0
121,4.0,600,9103,0,176,222,74,128,3,47.16,0.910,0.769,0.153,0.148,0.210,-0.254,1.568,0.3463,1.2421,0.828,0.443,0.156,0.106,-0.003,86,2,13,0,0,0,30609.65,1580.075,8303.266,21.743,238.366,23.144,3051.120,791.645,4.156,3231.908,2585.526,523.393,2561.084,100.184,0.000135,0.001544,77,0,10,3,8,6,4461,59,3,8.350,485,36,33,4,0,29,0,867,191,169,0,0,165,4,3159,389,6,5269.906,4417.022,64.981,0.036,3.698,702.440,159.849,40.019,46,5,0,5,0,258,2554,332,7,4025.677,2262.980,19.112,0.233,4.444,523.276,146.085,27.249,17,2,0,2,0,101,1857,191,1,2279.890,722.527,2.151,0.000,0.000,400.668,103.032,9.485,4,3,0,3,0,204,1947,261,1,2853.717,510.403,0.892,0.000,0.207,451.265,116.980,2.001,2,2,2,0,0,215,1283,169,3,2166.417,130.069,0.299,0.000,0.000,280.964,73.607,1.197,1,0,0,0,0,0,930,135,0,1485.000,15.468,0.000,13.124,0.000,201.566,55.990,8.949,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
151,5.0,713,7880,49,181,326,73,133,3,62.11,0.937,0.764,0.135,0.136,0.187,-0.346,1.571,0.3359,1.2719,0.812,0.431,0.117,0.112,-0.003,89,7,8,0,0,0,34537.77,1627.096,10904.842,11.762,186.013,18.445,3500.793,947.677,5.303,5236.813,4189.451,351.086,2653.392,109.965,0.000121,0.002443,77,0,3,5,6,2,6069,59,5,9.384,494,12,10,1,0,6,3,930,284,258,0,0,253,5,4579,474,4,7140.937,5930.955,42.308,0.052,3.712,974.722,232.682,61.049,74,2,2,0,0,238,3326,398,7,5614.891,3233.654,12.309,0.386,5.480,683.739,195.251,42.721,38,2,2,0,0,204,1954,208,0,2802.500,924.521,0.000,0.000,0.000,426.074,111.122,14.843,6,2,1,1,0,249,1917,230,1,2312.485,412.355,4.225,0.000,0.000,432.075,110.291,0.614,0,3,1,2,0,420,1290,168,5,2221.603,142.110,0.563,0.000,0.192,282.495,70.556,1.468,0,0,0,0,0,0,922,104,1,1115.056,12.165,0.000,1.940,0.000,197.493,55.840,2.345,0,1,1,0,0,143,0,0,0,0,4,0,0,0,0,0,0,0,151,713,664,0,0
181,6.0,842,6631,49,188,457,65,132,2,85.98,0.960,0.752,0.112,0.111,0.170,-0.433,1.585,0.3368,1.2798,0.800,0.372,0.106,0.117,-0.003,87,15,16,0,1,0,39586.79,1737.001,13531.585,61.682,367.524,22.986,4263.787,1217.939,4.283,6621.234,5296.987,905.644,2320.425,244.927,0.000109,0.002951,102,0,8,8,2,0,7714,47,8,21.239,488,38,17,7,0,4,4,1031,357,349,1,0,347,1,6605,525,25,8895.395,7173.461,156.020,0.000,20.668,1371.286,345.788,90.553,91,7,5,2,0,974,4727,548,17,8107.719,4658.480,61.742,0.000,0.000,995.533,285.848,66.266,49,3,3,0,0,389,2157,182,1,2533.868,844.801,4.035,0.000,0.000,492.086,122.864,19.651,4,1,0,1,0,18,1852,232,5,2523.311,447.040,9.386,0.462,0.000,417.994,97.055,0.251,1,4,3,1,0,624,1266,141,7,2058.146,133.960,1.700,0.000,0.566,281.465,69.161,3.720,1,3,1,2,0,489,817,100,0,1397.500,20.399,0.000,39.982,0.005,171.435,48.416,17.886,0,6,3,2,1,1003,0,0,0,0,0,0,0,1,0,0,0,0,151,713,664,0,0
211,7.0,982,5489,49,188,606,56,132,3,103.58,0.979,0.737,0.095,0.093,0.153,-0.501,1.579,0.3301,1.3186,0.818,0.378,0.096,0.123,-0.007,94,32,17,0,0,0,45997.07,1888.406,15356.082,8.347,430.697,21.321,5107.982,1668.344,3.346,7927.979,6342.384,549.696,1699.093,228.499,0.000133,0.003916,109,0,11,6,9,9,10465,73,6,1.583,383,12,7,1,0,2,4,1164,561,542,1,0,535,6,9388,629,16,9956.213,8110.229,111.461,0.208,0.000,1881.972,567.972,157.778,115,13,10,3,0,1750,6538,572,14,9683.347,5646.573,107.694,1.157,0.000,1402.201,426.693,112.103,57,12,5,7,0,1124,2321,192,2,2873.810,967.282,5.401,0.000,0.000,528.014,131.275,29.396,10,3,3,0,0,607,1678,171,2,1640.041,311.738,1.674,0.882,1.384,362.353,83.214,4.947,0,5,5,0,0,866,1176,133,0,2065.000,131.172,0.000,0.000,0.000,251.547,59.062,0.000,1,6,6,0,0,1201,693,40,2,578.367,8.339,0.008,4.517,0.199,135.932,36.532,8.914,0,4,3,1,0,817,0,0,0,0,0,0,0,2,0,0,0,0,151,713,664,0,0
241,8.0,1213,4414,49,208,828,48,129,4,115.63,0.998,0.735,0.087,0.082,0.142,-0.562,1.571,0.3462,1.3525,0.776,0.332,0.085,0.126,-0.006,125,28,15,0,0,0,53794.55,2045.812,19505.233,13.459,644.247,22.262,6143.509,2282.928,4.607,11309.534,9047.627,496.902,2241.089,336.076,0.000174,0.005294,138,0,11,4,12,8,13435,74,4,9.055,302,3,2,0,0,1,1,1295,607,570,3,0,567,0,12875,739,35,14188.479,11482.434,338.562,0.307,4.183,2553.249,935.994,239.541,154,14,5,9,0,1468,8484,705,14,11903.420,6904.626,140.638,0.363,4.872,1846.549,580.275,141.066,92,9,7,2,0,1380,2321,153,6,2121.655,713.791,27.052,0.000,0.000,528.413,142.802,32.521,3,6,6,0,0,1283,1620,127,1,1190.791,220.252,2.253,3.734,0.000,343.707,77.739,2.100,1,2,2,0,0,453,1035,73,0,1072.500,64.909,0.000,0.000,0.000,205.370,51.373,0.371,0,4,4,0,0,909,539,20,8,272.944,2.091,0.601,0.000,0.000,94.467,24.485,0.085,0,4,4,0,0,903,0,0,0,0,2,0,0,1,0,0,0,0,151,713,664,0,0
271,9.0,1422,3365,49,221,1040,39,122,4,154.05,1.013,0.736,0.079,0.077,0.134,-0.607,1.583,0.3464,1.4069,0.764,0.299,0.076,0.129,-0.007,109,47,29,0,1,0,61278.53,2238.773,21764.255,24.292,794.901,20.597,7501.629,2889.934,6.551,11856.913,9485.531,1068.434,2372.733,332.684,0.000118,0.004657,164,0,22,7,17,15,16215,63,7,7.102,228,15,12,3,0,6,3,1257,591,572,4,0,563,5,17147,866,77,16869.984,13500.001,517.510,0.261,2.593,3418.611,1285.591,297.875,168,23,14,9,0,3191,10887,754,20,12590.688,7229.119,162.028,1.190,2.560,2381.413,775.623,156.462,89,21,12,9,0,2354,2264,128,3,2022.136,669.546,4.805,0.000,0.000,520.004,139.867,30.142,7,9,8,1,0,1737,1531,100,0,977.500,185.900,0.000,7.366,1.359,323.593,71.284,6.119,1,7,6,1,0,1828,959,81,1,1136.499,71.503,0.156,8.372,0.590,180.219,48.313,7.425,1,2,1,1,0,459,367,25,0,327.500,4.371,0.000,0.000,0.000,63.104,14.290,0.110,0,8,6,1,1,2055,0,0,0,0,2,0,0,1,0,0,0,0,151,713,664,0,0
301,10.0,1611,2563,46,232,1241,28,110,4,158.55,1.028,0.746,0.079,0.072,0.127,-0.640,1.581,0.3473,1.4577,0.764,0.276,0.062,0.129,-0.006,107,58,36,0,1,0,67842.58,2435.753,22426.947,42.547,832.091,18.413,8690.535,3311.929,7.134,11972.762,9578.210,1545.595,1886.044,505.404,0.000146,0.003441,178,0,34,2,15,14,19014,63,2,0.789,268,30,27,8,0,14,4,1255,518,504,15,0,484,5,21341,830,59,16819.767,13486.828,427.757,0.442,0.000,4257.424,1590.518,331.763,172,31,17,14,0,3228,12721,705,47,14155.848,8110.887,270.616,0.587,0.182,2838.494,883.522,156.912,98,38,19,19,0,4461,2146,101,7,1598.228,489.255,38.385,4.099,0.000,496.990,131.318,26.725,1,7,7,0,0,1398,1364,95,1,962.473,183.943,0.749,18.781,0.000,287.914,68.137,4.485,0,6,6,0,0,1683,776,44,1,701.745,47.556,1.149,17.849,0.607,136.842,40.747,10.700,0,9,7,1,1,2455,228,7,0,87.500,0.959,0.000,0.000,0.000,38.009,9.004,0.055,0,2,2,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,301,1611,1611,0,0
331,11.0,1764,2114,46,242,1398,19,105,7,137.83,1.034,0.746,0.080,0.071,0.124,-0.664,1.575,0.3470,1.4705,0.760,0.260,0.055,0.131,-0.006,118,57,42,0,0,0,71959.57,2647.352,20576.474,16.221,1163.354,22.147,9852.107,3786.612,8.616,10419.282,8335.426,1554.969,1272.376,564.522,0.000162,0.002951,217,0,40,2,35,33,21521,60,2,4.526,162,18,18,2,0,8,8,1136,464,437,5,0,432,0,25670,867,99,18289.897,14401.867,746.974,1.311,0.000,5131.809,1917.678,416.992,188,50,33,17,0,5420,14073,491,53,9856.337,5490.020,325.432,1.078,4.526,3213.708,959.796,172.325,51,32,12,20,0,3063,2045,85,4,1352.260,419.397,10.253,0.000,0.000,474.564,126.207,25.376,0,3,2,1,0,376,1196,91,1,982.950,175.450,0.609,5.880,0.000,256.699,67.149,3.106,0,2,2,0,0,628,523,23,0,400.000,29.619,0.000,3.426,0.000,82.980,28.388,0.916,0,8,6,2,0,2511,164,1,0,25.000,0.536,0.000,0.000,0.000,26.695,7.036,0.412,0,1,1,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,301,1611,1611,0,0
361,12.0,1939,1698,46,253,1568,16,102,9,136.72,1.044,0.753,0.081,0.071,0.120,-0.676,1.579,0.3542,1.5050,0.738,0.233,0.050,0.131,-0.006,124,62,62,0,1,0,77172.92,2818.746,23556.481,22.099,1111.609,17.844,10824.107,4171.704,11.846,12471.017,9976.814,2008.831,1013.590,659.692,0.000145,0.002409,215,0,56,6,57,53,23289,70,6,12.343,131,9,7,0,0,4,3,1083,403,373,4,0,365,4,29160,881,86,20201.418,16099.476,666.440,1.058,10.922,5878.372,2204.611,458.476,202,72,32,39,1,8014,15069,604,48,11966.315,6763.368,332.354,3.459,0.000,3487.517,1019.923,182.178,80,35,18,17,0,4639,2029,83,6,1288.202,432.387,28.927,0.580,0.000,468.874,131.086,20.602,1,4,4,0,0,972,1105,58,2,684.562,131.516,0.969,4.659,1.421,231.399,56.966,5.873,0,5,5,0,0,1714,400,36,0,655.000,43.029,0.000,0.000,0.000,60.655,23.851,0.230,0,1,1,0,0,341,114,1,3,50.437,0.623,0.306,0.000,0.000,17.698,3.899,0.206,0,2,2,0,0,686,0,0,0,0,5,0,0,0,0,0,0,0,301,1611,1611,0,0
391,13.0,2131,1344,46,269,1751,13,98,15,137.13,1.046,0.761,0.079,0.072,0.118,-0.689,1.581,0.3438,1.5585,0.740,0.212,0.050,0.132,-0.006,158,74,58,0,1,0,83749.59,3091.203,26571.976,19.391,1148.320,23.213,12064.169,4794.784,17.111,13396.147,10716.918,1857.929,1057.804,634.881,0.000206,0.002047,203,0,53,5,47,45,25341,69,5,5.526,122,28,25,2,0,7,16,1096,482,439,7,0,429,3,33271,1016,78,23311.816,18750.539,677.905,0.755,4.970,6740.710,2624.080,502.161,228,73,39,33,1,8374,16571,610,50,13074.677,7308.401,388.295,2.620,0.000,3856.811,1174.924,184.687,75,47,28,19,0,5920,2008,62,4,1064.580,350.068,7.925,0.876,0.000,465.984,133.910,21.844,1,5,5,0,0,1235,1020,41,1,423.291,74.881,2.244,5.221,0.319,209.590,53.978,4.615,0,0,0,0,0,0,374,10,1,185.663,14.592,0.348,4.392,0.237,57.446,23.017,2.374,0,2,1,1,0,607,77,0,0,0.000,0.000,0.000,0.000,0.000,11.358,2.186,0.000,0,1,1,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,301,1611,1611,0,0
421,14.0,2335,1058,46,285,1953,8,89,19,159.30,1.052,0.769,0.077,0.069,0.116,-0.709,1.589,0.3513,1.6027,0.707,0.189,0.048,0.133,-0.004,131,89,56,0,2,0,91633.36,3358.409,29599.759,18.309,1719.360,18.928,13221.989,5417.028,28.810,14579.540,11663.632,1794.912,976.718,737.336,0.000144,0.001923,285,0,47,9,54,45,26739,66,9,12.866,96,6,6,1,0,5,0,1006,482,435,1,0,427,7,38052,1238,140,28882.375,23042.286,1225.528,1.039,8.775,7774.603,3088.516,541.258,277,75,40,34,1,9840,17247,468,70,10805.609,6059.455,397.621,2.628,4.091,4012.870,1314.495,187.090,49,47,38,9,0,8011,1888,52,7,867.137,281.697,11.893,0.000,0.000,427.919,122.773,20.564,0,7,4,2,1,1703,949,42,1,555.804,102.666,2.193,0.795,0.000,193.645,53.510,2.669,0,4,3,1,0,1613,272,11,1,231.535,14.247,0.555,0.981,0.000,42.729,16.246,0.513,0,4,3,1,0,1626,51,0,0,0.000,0.000,0.000,0.000,0.000,7.902,1.469,0.055,0,1,1,0,0,412,0,0,0,0,2,0,0,0,0,0,0,0,301,1611,1611,0,0
451,15.0,2579,914,42,290,2205,5,79,20,167.82,1.064,0.776,0.076,0.066,0.110,-0.729,1.594,0.3350,1.6073,0.742,0.155,0.048,0.135,-0.002,129,80,77,0,4,0,98871.94,3651.382,32280.076,52.519,1784.602,19.873,14693.247,6242.400,31.815,16920.076,13536.061,2690.829,945.691,757.402,0.000211,0.002285,268,0,62,15,71,56,30368,66,15,42.256,43,9,9,2,2,2,3,888,331,307,4,0,297,6,45264,1367,149,33437.672,26578.677,1327.838,1.737,40.993,9356.229,3763.554,698.385,346,80,48,31,1,10594,17078,392,47,9358.298,5325.995,349.937,2.033,1.263,3974.109,1344.957,184.346,39,53,27,24,2,8455,1641,44,6,742.888,234.207,18.819,0.000,0.000,367.493,99.507,16.760,0,8,2,5,1,2428,873,33,0,352.500,69.193,0.000,5.027,0.000,177.822,50.696,1.991,0,2,0,2,0,859,143,4,0,100.000,5.508,0.000,1.466,0.000,20.727,10.118,1.545,0,3,3,0,0,1037,30,1,0,25.000,0.623,0.000,0.000,0.000,5.723,0.962,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,2579,2579,0,0
481,16.0,2738,856,42,299,2368,3,68,31,169.74,1.069,0.781,0.075,0.064,0.108,-0.743,1.590,0.3483,1.6341,0.708,0.134,0.045,0.135,-0.001,132,121,104,0,1,0,103816.49,3957.613,32977.904,57.033,1742.237,22.759,16006.040,7055.467,41.424,15996.504,12797.203,3800.491,973.288,971.979,0.000294,0.001203,346,0,92,12,91,79,33030,78,12,29.595,43,6,6,5,0,0,1,846,408,382,10,0,360,12,51530,1321,172,32538.551,26152.546,1161.055,3.171,26.892,10736.572,4414.185,826.262,306,141,71,70,0,19997,17019,468,87,11224.896,6325.275,471.071,1.724,2.702,3951.185,1375.052,201.774,57,60,38,21,1,10934,1430,50,8,1024.236,347.085,12.532,1.457,0.000,325.664,82.074,21.764,1,7,6,1,0,2691,802,24,1,271.298,45.107,0.912,7.455,0.000,165.511,45.782,4.344,0,4,4,0,0,1886,103,7,0,175.000,12.457,0.000,13.491,0.000,15.213,7.913,1.690,0,1,1,0,0,264,29,0,0,0.000,0.000,0.000,0.000,0.000,5.532,0.863,0.000,0,1,1,0,0,480,0,0,0,0,0,0,0,1,0,0,0,0,451,2579,2579,0,0
511,17.0,2906,714,42,306,2538,3,59,37,165.43,1.079,0.783,0.074,0.061,0.106,-0.755,1.598,0.3408,1.6266,0.707,0.101,0.043,0.136,-0.000,119,110,145,0,5,0,110323.10,4053.683,37930.754,92.701,2082.502,20.838,17108.811,7762.762,50.602,17858.715,14286.972,4821.639,1156.307,1098.673,0.000160,0.001062,376,0,120,25,134,109,34766,75,25,71.104,30,2,2,2,0,0,0,770,326,301,14,0,279,8,57325,1613,220,39946.128,31902.362,1487.778,2.969,68.293,12014.406,5087.192,942.386,356,160,61,98,1,20867,16549,424,73,10168.083,5715.692,478.912,2.963,2.811,3835.429,1302.237,213.406,40,66,45,18,3,12599,1265,40,6,722.875,236.190,12.935,4.011,0.000,287.217,76.348,17.614,0,4,1,3,0,1727,636,12,2,149.030,27.832,1.190,5.654,0.000,126.195,37.621,2.774,0,5,3,1,1,2311,90,4,0,100.000,4.878,0.000,6.001,0.000,13.376,5.994,0.658,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,2579,2579,0,0
541,18.0,3015,616,42,320,2638,2,55,48,163.68,1.088,0.782,0.074,0.060,0.107,-0.763,1.606,0.3496,1.6200,0.715,0.091,0.042,0.137,0.002,107,138,155,0,2,0,116491.34,4485.316,39809.128,29.596,2416.089,21.449,17973.117,8051.931,62.196,17157.393,13725.915,5908.873,1375.128,1353.071,0.000189,0.000359,424,0,148,7,152,145,35710,85,7,16.942,4,2,2,2,0,0,0,655,258,241,3,0,235,3,61399,1675,234,41300.495,32957.581,1750.023,4.069,9.574,13019.898,5406.347,980.015,339,221,94,125,2,29527,15989,451,100,11607.720,6537.086,549.037,1.951,7.368,3707.322,1254.137,204.722,44,62,41,21,0,14355,1118,30,1,558.962,201.716,0.630,1.118,0.000,253.657,67.567,14.031,0,3,2,1,0,1223,570,16,4,245.604,42.800,3.346,0.573,0.000,114.712,34.051,1.596,0,1,1,0,0,541,64,0,0,0.000,0.000,0.000,3.078,0.000,8.755,3.915,0.658,0,1,0,1,0,515,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,2579,2579,0,0
571,19.0,3144,604,42,325,2774,2,43,57,192.52,1.099,0.784,0.072,0.058,0.105,-0.775,1.612,0.3608,1.6087,0.714,0.080,0.039,0.138,0.003,90,130,196,0,5,0,121471.21,4810.870,40273.295,69.298,2510.684,15.954,18905.844,8454.767,80.355,19580.087,15664.070,6687.876,785.813,1342.927,0.000161,0.000773,447,0,168,28,196,168,36310,76,27,60.685,0,0,0,0,0,0,0,564,245,238,1,0,227,10,65884,1697,290,42653.852,33838.889,2039.974,4.562,56.788,14139.714,5813.352,1052.489,380,212,84,125,3,31713,15208,423,72,10662.574,6215.372,356.509,1.662,3.898,3532.364,1195.552,199.988,46,77,33,42,2,17657,1036,21,6,419.992,134.805,5.339,0.589,0.000,235.040,66.506,13.635,1,7,7,0,0,3109,379,11,2,216.749,29.933,4.497,0.000,0.000,69.051,23.136,0.148,0,7,6,1,0,3566,60,1,1,29.658,1.535,0.286,0.000,0.000,8.126,4.685,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,451,2579,2579,0,0
601,20.0,3282,557,39,319,2925,1,37,82,190.23,1.113,0.790,0.071,0.059,0.102,-0.782,1.605,0.3634,1.6051,0.735,0.069,0.036,0.138,0.004,83,107,209,0,4,0,127532.82,4945.984,44087.750,91.129,2619.073,14.348,19942.941,8968.356,106.933,19697.762,15758.210,7902.830,782.864,1419.775,0.000198,0.000546,466,0,182,27,209,182,37136,65,27,82.330,0,0,0,0,0,0,0,467,235,216,0,0,209,7,70654,1867,329,47066.907,37551.620,2221.982,4.419,78.193,15351.967,6336.526,1090.247,390,229,84,143,2,35327,14795,429,65,10743.440,6338.978,279.570,3.571,4.137,3419.847,1173.438,184.818,47,57,20,35,2,13502,918,18,7,435.565,144.940,14.409,0.000,0.000,209.206,63.304,12.573,0,3,1,2,0,1392,274,5,0,90.000,14.329,0.000,0.000,0.000,50.407,15.529,0.185,0,3,2,1,0,1520,33,1,0,25.000,1.535,0.000,0.000,0.000,4.836,3.092,0.000,0,1,0,1,0,526,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,3282,3282,5,0
631,21.0,3480,545,39,324,3125,1,30,115,195.35,1.127,0.792,0.073,0.058,0.101,-0.790,1.613,0.3579,1.6051,0.731,0.052,0.037,0.139,0.004,96,128,187,0,4,0,136307.31,5235.072,47903.231,77.684,2943.769,15.564,21354.399,9565.877,143.382,22337.419,17869.935,6511.457,1003.195,1395.691,0.000243,0.000083,525,0,160,27,187,160,37865,97,27,71.095,0,0,0,0,0,0,0,367,205,191,0,0,179,12,76195,2052,348,52172.457,41834.723,2383.205,3.955,71.095,16818.622,6837.450,1165.560,438,234,104,127,3,38618,14606,390,73,9997.239,5817.230,387.915,1.996,0.000,3387.223,1201.573,191.105,47,51,19,31,1,12170,795,15,3,387.421,129.760,10.566,0.000,0.000,180.972,53.119,10.641,0,4,3,1,0,2185,207,9,4,199.200,31.610,2.206,0.000,0.000,42.418,12.635,0.104,0,3,2,1,0,1651,30,2,0,50.000,3.070,0.000,0.000,0.000,4.510,2.150,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,3282,3282,5,0
