tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore
31,1.0,445,12818,0,148,103,78,116,1,18.63,0.858,0.791,0.187,0.196,0.236,-0.056,1.588,0.3279,1.2655,0.734,0.405,0.189,0.101,0.001,46,0,19,0,0,0,25101.32,1253.146,6861.201,49.419,31.613,16.130,2327.628,628.320,0.164,2315.804,1852.643,1087.759,1889.452,80.083,0.000096,0.000014,7,0,13,6,2,2,2761,0,6,1.420,616,71,34,7,0,27,0,709,140,93,5,0,88,0,1413,288,2,3286.496,2798.208,22.694,0.045,0.000,326.346,84.778,5.158,13,2,0,2,0,32,1477,254,3,2742.664,1584.706,7.449,0.000,0.000,279.911,94.366,2.198,10,0,0,0,0,0,1533,292,1,3261.786,1045.833,1.098,1.021,0.000,320.909,90.077,4.288,5,2,0,2,0,29,2013,420,1,4359.387,773.319,0.372,8.637,0.979,473.775,127.753,8.616,8,5,0,5,0,126,1291,359,0,4477.500,290.165,0.000,6.929,0.287,284.556,75.344,5.957,3,2,0,2,0,33,1151,231,0,2677.500,29.380,0.000,31.368,0.154,249.652,79.430,12.037,0,2,0,2,0,47,0,2,2,0,4,1,0,0,1,0,0,1
61,2.0,474,11545,0,162,120,74,118,2,31.10,0.861,0.779,0.193,0.178,0.239,-0.106,1.573,0.3181,1.2613,0.726,0.481,0.192,0.102,0.001,65,0,23,0,0,0,25809.72,1309.545,5875.715,61.006,102.760,19.082,2409.995,620.165,2.582,2000.116,1600.092,1111.367,1850.233,143.497,0.000106,-0.000229,74,0,22,1,5,4,2866,61,1,5.557,541,28,23,12,0,10,1,627,136,106,6,0,100,0,1719,244,4,2835.770,2369.080,5.992,0.097,5.557,386.371,98.193,13.821,18,6,0,6,0,184,1582,253,2,2774.128,1601.072,11.059,0.000,0.000,310.217,95.638,2.799,10,6,0,6,0,246,1553,254,5,2574.851,862.435,15.559,0.000,0.000,325.240,84.278,4.026,4,3,0,3,0,132,1971,317,0,3235.000,568.367,0.000,12.474,0.000,467.569,118.745,12.777,3,2,0,2,0,116,1249,217,2,3154.174,212.611,0.192,5.199,0.000,273.373,68.539,2.526,1,1,0,1,0,34,1019,217,0,2695.000,36.158,0.000,37.680,0.000,212.126,65.300,12.565,0,4,0,4,0,183,1,0,0,0,0,0,0,0,0,0,0,0
91,3.0,514,10314,0,161,161,72,120,3,40.41,0.879,0.791,0.190,0.180,0.222,-0.189,1.576,0.3231,1.3443,0.758,0.460,0.190,0.104,0.003,76,2,12,0,0,0,27534.16,1349.989,7415.002,13.447,150.614,21.917,2633.279,649.877,4.550,2157.402,1725.922,599.901,2626.129,108.789,0.000115,0.000475,82,0,6,6,4,3,3042,75,6,6.298,477,12,7,1,0,4,2,608,94,51,2,0,49,0,2328,323,2,4538.629,3872.144,14.227,0.010,0.000,515.105,128.285,21.916,33,1,0,1,0,51,1853,260,2,3048.927,1789.840,8.055,0.000,3.798,385.052,105.043,4.097,10,1,0,1,0,79,1643,243,0,2382.500,812.664,0.000,0.000,0.000,345.029,87.513,1.273,4,1,1,0,0,82,1937,248,3,2776.657,477.123,1.011,3.349,2.204,466.964,118.440,9.021,1,2,0,2,0,141,1236,232,0,2965.000,207.172,0.000,3.790,0.293,269.770,69.878,2.700,1,3,1,2,0,219,960,189,0,2432.500,34.320,0.000,0.000,0.003,202.434,58.222,2.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,4.0,647,9022,0,160,300,68,119,3,53.06,0.923,0.838,0.168,0.150,0.183,-0.389,1.567,0.3365,1.4960,0.771,0.469,0.150,0.110,-0.003,75,3,18,0,0,0,33329.82,1395.488,13382.286,35.816,147.764,22.312,3104.256,899.944,6.802,6274.312,5019.449,725.544,2933.554,92.971,0.000138,0.001012,73,0,13,5,9,5,5172,61,5,13.623,479,19,15,8,0,7,0,607,49,14,0,0,10,4,4444,611,8,11787.358,10389.951,9.986,0.012,9.027,968.682,310.237,78.853,132,4,0,4,0,276,2114,301,2,2847.143,1605.793,30.378,0.146,4.446,441.254,133.150,3.050,12,2,0,2,0,125,1700,220,1,2077.011,700.109,2.041,0.000,0.000,351.036,95.539,1.304,3,3,0,3,0,227,1894,212,0,2325.000,397.860,0.000,0.000,0.000,449.777,109.018,1.445,1,3,2,1,0,283,1183,156,0,1835.000,121.910,0.000,12.214,0.000,253.061,60.350,4.576,0,1,0,1,0,104,920,149,1,1715.053,20.866,0.000,9.820,0.150,193.638,55.964,4.631,0,3,1,2,0,322,1,1,0,0,0,0,0,0,0,0,0,0
151,5.0,912,7431,40,166,562,67,117,4,57.28,0.978,0.903,0.136,0.121,0.139,-0.558,1.577,0.3303,1.6823,0.744,0.446,0.111,0.113,-0.018,79,4,30,0,0,0,43924.80,1412.753,22278.708,41.300,180.004,20.263,4328.790,1796.532,6.905,12401.026,9920.821,1154.916,3219.253,151.172,0.000119,0.001805,72,0,26,4,11,10,9910,58,4,2.107,520,34,31,11,0,18,2,615,87,48,5,0,41,2,9829,1037,5,21783.283,18974.290,83.509,0.271,0.000,2162.171,1015.608,232.969,270,22,2,20,0,905,2518,323,3,3255.908,1890.322,5.941,0.113,1.544,515.704,162.602,8.853,14,0,0,0,0,0,1762,233,1,2328.945,784.874,1.725,0.000,0.000,358.184,97.488,0.783,3,0,0,0,0,0,1796,184,4,1870.050,326.942,6.047,7.745,0.000,401.231,94.470,10.628,1,6,2,4,0,697,1197,116,1,1384.752,91.324,0.222,4.268,0.562,253.087,59.129,4.839,1,0,0,0,0,0,834,109,0,1167.500,12.772,0.000,26.795,0.000,175.381,50.730,15.810,0,2,0,2,0,266,0,0,0,0,0,0,0,0,0,0,0,0
181,6.0,1361,5428,40,171,1006,61,123,5,63.10,1.022,0.959,0.112,0.091,0.102,-0.677,1.582,0.3317,1.8667,0.733,0.398,0.090,0.115,-0.032,80,10,57,0,1,0,61522.62,1476.763,38071.625,105.453,574.066,23.801,6743.009,3368.645,8.610,21519.808,17215.847,2564.453,4808.415,258.934,0.000153,0.002291,58,0,51,6,23,21,18365,9,6,19.558,442,71,49,25,0,21,3,528,102,72,5,0,60,7,19773,1777,47,40571.083,35101.499,552.512,0.559,19.080,4431.102,2277.690,508.456,481,49,4,45,0,2087,2915,271,2,3093.542,1757.600,16.575,0.000,0.000,614.891,178.734,8.855,15,4,1,2,1,508,1902,226,0,2062.500,739.950,0.000,0.000,0.000,389.838,104.889,4.776,8,0,0,0,0,0,1734,154,0,1680.000,309.432,0.000,6.909,0.000,391.673,85.835,7.195,2,3,3,0,0,535,1154,60,0,677.500,37.998,0.000,13.854,0.477,254.898,53.124,8.809,0,4,0,4,0,678,778,74,0,887.500,11.418,0.000,64.574,0.000,166.968,42.836,44.098,0,2,2,0,0,330,0,0,0,0,0,0,0,1,0,0,0,0
211,7.0,1966,3145,40,169,1625,51,121,9,79.40,1.048,1.014,0.089,0.070,0.078,-0.760,1.575,0.3302,1.9993,0.770,0.355,0.076,0.118,-0.044,92,41,56,0,1,0,83507.02,1573.874,49275.751,40.134,992.253,17.447,10218.335,5410.248,9.112,29262.810,23410.249,2829.463,4163.764,421.876,0.000176,0.001017,130,0,50,6,42,40,31617,0,6,8.566,417,46,42,9,3,20,10,529,170,162,1,0,152,9,35627,2261,123,53481.498,46532.963,987.772,0.997,6.269,7898.433,3969.301,869.313,684,69,23,46,0,3657,3249,331,1,3273.133,1889.678,1.650,0.000,0.000,691.321,219.295,7.899,12,8,6,2,0,1387,2019,130,0,1272.500,446.285,0.000,0.000,0.000,406.923,107.669,8.635,2,1,1,0,0,195,1627,156,1,1559.101,299.889,0.808,1.952,1.920,358.156,75.204,4.408,0,3,3,0,0,580,1039,28,5,341.696,22.104,2.023,14.318,0.152,226.317,47.892,5.543,0,6,5,1,0,1101,710,52,0,635.000,9.069,0.000,14.301,0.225,147.157,39.707,11.223,0,4,3,1,0,804,0,0,0,0,0,0,0,0,0,0,0,0
241,8.0,2517,1212,40,172,2200,40,105,12,66.36,1.057,1.073,0.078,0.063,0.068,-0.807,1.570,0.3390,2.2118,0.783,0.273,0.059,0.121,-0.052,110,62,186,0,0,0,99619.62,1726.867,55042.631,118.216,1320.439,18.221,14582.216,8457.649,14.682,33028.708,26422.967,6943.216,3266.307,905.303,0.000176,0.001472,136,0,180,6,135,129,48481,0,6,26.613,277,37,34,23,1,9,1,521,222,181,29,0,132,20,56307,2515,116,61418.399,53660.794,1311.279,1.619,26.613,12468.330,6472.682,1413.552,780,200,45,155,0,9800,3122,155,1,1689.824,962.732,1.402,0.231,0.000,646.932,232.792,9.659,9,14,4,10,0,1604,1990,74,1,678.704,249.449,0.523,0.763,0.000,393.166,106.424,7.639,1,10,3,7,0,1776,1457,72,5,701.907,130.548,5.867,31.227,0.000,313.086,64.268,10.638,0,7,3,4,0,1413,797,20,5,210.319,13.996,0.847,23.813,0.000,162.751,38.629,12.250,0,6,3,3,0,1341,556,17,8,190.884,0.713,0.521,33.950,0.000,107.977,26.441,17.580,0,5,4,1,0,1131,0,0,0,0,0,0,0,0,0,0,0,0
271,9.0,2641,608,40,174,2350,28,89,17,102.82,1.056,1.101,0.074,0.054,0.067,-0.826,1.566,0.3477,2.3287,0.773,0.259,0.056,0.121,-0.057,96,110,162,0,0,0,96681.33,1810.685,32190.611,67.988,1400.004,16.286,16495.883,10225.279,21.705,16237.495,12989.996,5340.103,969.649,707.452,0.000225,0.000426,149,0,158,4,131,128,55210,0,4,12.101,202,41,41,19,1,15,5,431,133,104,12,0,84,8,65927,1462,142,36813.720,31546.207,1358.570,1.290,12.043,14568.302,8372.813,1364.875,387,233,87,146,0,17249,2955,87,4,909.602,479.792,37.399,0.311,0.000,617.732,217.736,11.211,3,7,3,4,0,1422,1732,26,3,277.922,91.562,4.035,0.330,0.000,342.523,84.949,3.271,0,8,5,3,0,1783,1262,17,0,250.000,39.098,0.000,18.208,0.000,271.074,55.765,7.111,0,8,6,2,0,2034,685,15,0,112.500,6.064,0.000,35.749,0.058,132.878,29.846,16.418,0,4,2,2,0,1049,377,4,0,30.000,0.276,0.000,0.000,0.000,67.104,15.455,0.809,0,8,7,1,0,2065,0,0,0,0,0,0,0,0,0,0,0,0
301,10.0,2597,392,37,177,2320,21,79,21,106.48,1.048,1.106,0.073,0.052,0.070,-0.836,1.561,0.3519,2.3381,0.744,0.181,0.055,0.121,-0.059,81,161,150,0,3,0,90390.69,1863.256,26923.698,54.775,1231.502,12.284,16704.270,10271.854,30.955,10973.602,8778.882,4814.849,487.292,628.424,0.000204,0.000049,134,0,144,6,138,132,55747,0,6,26.969,106,25,25,6,0,17,2,428,138,126,10,0,94,22,67994,1244,132,31180.067,26568.341,1229.772,1.685,23.658,15003.451,8608.963,1233.427,259,275,139,133,3,25128,2649,37,1,454.553,262.904,1.081,0.179,3.311,549.076,194.663,13.766,1,15,8,7,0,2830,1480,11,1,119.163,47.908,0.648,3.944,0.000,294.952,74.861,4.471,0,6,4,2,0,1599,1088,17,0,145.000,26.737,0.000,4.311,0.000,232.544,50.091,6.954,0,4,3,1,0,1097,543,8,0,60.000,3.734,0.000,17.687,0.000,99.482,26.240,6.300,0,3,3,0,0,770,176,2,0,32.500,0.445,0.000,0.000,0.000,28.209,7.056,0.103,0,4,3,1,0,1129,0,0,0,0,0,0,0,0,0,0,0,0
331,11.0,2470,431,37,175,2210,15,70,19,124.97,1.046,1.107,0.072,0.047,0.071,-0.844,1.554,0.3495,2.3362,0.748,0.143,0.054,0.121,-0.059,75,238,109,0,6,0,86213.39,1889.863,25370.958,44.684,1180.217,10.784,15906.028,9766.694,29.700,9285.890,7428.712,3128.368,337.588,457.248,0.000172,-0.000314,151,0,100,9,101,93,53304,0,9,25.986,90,16,15,5,0,6,4,329,130,127,13,0,112,2,65626,1162,143,29288.341,24992.996,1174.663,0.753,25.913,14408.438,8308.944,1108.244,217,313,213,94,6,33287,2277,44,1,491.561,288.636,2.645,0.104,0.000,464.508,143.094,12.300,1,15,10,5,0,3150,1305,10,1,77.151,27.510,0.935,6.562,0.000,249.011,64.336,5.435,1,4,4,0,0,1053,904,14,6,169.951,26.715,1.973,2.985,0.000,196.126,41.694,3.491,0,6,5,1,0,1845,449,6,0,45.000,3.443,0.000,8.295,0.074,82.034,23.896,6.287,0,3,3,0,0,932,94,0,0,0.000,0.000,0.000,0.000,0.000,14.681,4.185,0.412,0,3,3,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0
361,12.0,2395,426,37,170,2156,9,60,27,148.50,1.047,1.108,0.072,0.044,0.071,-0.851,1.570,0.3506,2.3476,0.762,0.135,0.053,0.121,-0.060,64,204,112,0,2,0,86312.20,2057.540,29217.231,46.007,1431.639,10.207,15288.506,9501.560,32.533,9992.889,7994.311,3220.445,681.683,498.658,0.000203,-0.000002,168,0,104,8,96,88,50895,1,8,14.477,47,12,12,12,0,0,0,308,78,68,7,0,59,2,63368,1310,165,33487.257,28624.887,1429.808,0.839,14.477,13929.038,8131.695,1055.776,240,287,187,98,2,36062,2003,55,1,799.034,475.690,0.926,0.261,0.000,408.645,127.236,10.083,0,7,5,2,0,1807,1205,20,1,221.708,71.630,0.570,3.598,0.000,221.024,60.938,2.545,0,6,5,1,0,1873,786,10,0,110.000,19.681,0.000,7.389,0.000,173.734,36.182,4.555,0,4,3,1,0,1390,323,5,0,72.500,6.480,0.000,19.442,0.000,60.717,17.423,10.846,0,5,4,1,0,1681,4,0,0,0.000,0.000,0.000,0.000,0.000,0.593,0.092,0.000,0,1,0,1,0,335,0,0,0,0,0,0,0,0,0,0,0,0
391,13.0,2446,379,37,172,2219,4,51,27,159.12,1.048,1.116,0.072,0.043,0.071,-0.859,1.566,0.3512,2.3693,0.771,0.110,0.053,0.122,-0.063,50,157,111,0,7,0,90042.07,2093.728,33412.937,32.222,1453.309,8.403,15134.801,9032.773,40.762,13480.062,10784.050,3843.348,471.649,589.683,0.000172,0.001177,170,0,105,6,99,93,50887,2,6,15.525,29,1,1,1,0,0,0,287,92,79,12,0,61,6,63379,1503,166,38492.981,33103.773,1446.701,1.323,15.525,13912.879,7736.954,1027.708,314,247,141,101,5,34325,1764,30,0,452.500,273.409,0.000,0.000,0.000,363.200,116.149,7.260,4,8,6,1,1,1663,1019,7,0,70.000,21.651,0.000,1.145,0.000,186.275,52.438,3.044,0,6,3,2,1,1918,661,3,2,27.215,4.923,0.859,11.895,0.000,150.548,31.393,5.431,0,3,2,1,0,1114,212,2,0,32.500,1.817,0.000,2.334,0.000,37.260,9.370,0.329,0,5,5,0,0,1897,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,14.0,2480,436,37,170,2261,3,46,37,166.39,1.052,1.127,0.073,0.042,0.070,-0.864,1.560,0.3505,2.3855,0.776,0.094,0.052,0.123,-0.067,64,143,118,0,3,0,90815.76,2186.173,31395.453,25.627,1196.323,8.536,15519.326,9455.498,46.444,12442.682,9954.146,4028.796,701.474,593.488,0.000283,0.003164,196,0,111,7,111,104,52599,25,7,16.316,26,1,1,1,0,0,0,275,89,88,6,0,70,12,65315,1416,170,36126.284,31077.977,1165.965,1.609,16.316,14381.779,8139.682,1078.055,292,243,131,110,2,36750,1593,30,0,435.000,259.508,0.000,0.000,0.000,336.418,103.485,6.380,1,8,6,1,1,2162,889,8,1,88.486,26.463,2.944,0.000,0.000,167.724,45.205,2.229,0,2,2,0,0,727,569,10,0,92.500,15.469,0.000,5.685,0.000,128.526,25.613,5.887,0,3,3,0,0,1202,96,3,0,40.000,2.641,0.000,2.016,0.000,15.810,5.091,0.329,0,1,1,0,0,397,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,15.0,2522,420,35,169,2318,3,32,35,176.91,1.057,1.132,0.074,0.042,0.069,-0.870,1.560,0.3456,2.3740,0.738,0.124,0.047,0.123,-0.069,55,132,145,0,4,0,94574.28,2193.732,36915.356,30.468,1207.403,7.503,15865.512,9791.973,51.662,13481.209,10784.968,5365.987,876.764,732.894,0.000155,0.003513,215,0,138,7,137,130,53603,60,7,19.925,22,0,0,0,0,0,0,236,76,76,8,0,63,5,66894,1667,150,42346.616,36631.490,1148.717,1.719,19.925,14834.307,8470.537,1109.332,316,253,118,132,3,39097,1365,28,1,389.049,236.173,2.529,0.299,0.000,298.662,101.443,5.224,0,6,3,3,0,2215,653,4,2,50.616,15.595,0.805,0.000,0.000,120.829,31.831,2.730,0,11,9,2,0,4165,529,9,2,88.608,14.213,0.548,8.525,0.000,120.797,21.636,3.058,0,3,2,1,0,1342,90,0,0,0.000,0.000,0.000,0.000,0.000,14.825,4.675,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,16.0,2645,436,35,172,2448,2,23,39,181.47,1.064,1.138,0.072,0.045,0.069,-0.876,1.566,0.3435,2.3996,0.752,0.070,0.049,0.124,-0.073,63,118,130,0,2,0,100487.64,2308.519,39352.076,36.498,1379.987,6.704,16497.268,10065.901,55.199,15651.617,12521.294,4574.651,820.089,640.304,0.000240,0.005788,161,0,123,7,119,112,56099,10,7,14.946,30,4,4,4,0,0,0,182,50,50,7,0,38,5,69802,1769,147,45189.008,39017.039,1353.937,1.242,13.866,15575.304,8724.231,1159.638,363,230,107,122,1,38327,1241,27,3,458.519,251.654,17.935,0.074,1.080,268.389,89.201,5.786,0,3,2,0,1,1096,425,2,1,33.539,10.101,0.420,0.000,0.000,76.265,17.923,0.875,0,5,4,1,0,1706,387,12,0,177.500,28.557,0.000,8.307,0.000,88.864,16.595,3.584,0,4,4,0,0,1531,70,3,0,75.000,8.121,0.000,11.928,0.000,10.989,4.639,1.315,0,1,1,0,0,461,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,17.0,2780,431,35,170,2588,2,20,45,206.60,1.072,1.148,0.072,0.043,0.066,-0.881,1.573,0.3543,2.4068,0.736,0.088,0.046,0.124,-0.074,63,115,160,0,7,0,107165.77,2401.432,43463.872,51.588,1410.389,6.234,17495.697,10843.455,61.501,17453.534,13962.828,5281.105,1349.358,716.936,0.000163,0.005801,219,0,148,12,147,137,59482,50,12,30.491,30,8,7,7,0,0,0,171,24,23,4,0,18,1,74200,1966,164,49899.599,43241.132,1387.136,1.825,29.922,16665.551,9381.911,1311.019,407,254,103,145,6,47705,981,18,5,278.310,147.264,13.055,0.000,0.000,214.904,71.891,2.223,0,13,9,3,1,4826,345,8,0,165.000,54.294,0.000,0.000,0.000,62.625,14.198,0.445,0,1,1,0,0,445,281,4,0,82.500,13.654,0.000,3.033,0.434,60.834,11.406,0.859,0,2,2,0,0,973,60,2,0,50.000,2.439,0.000,16.239,0.136,9.016,4.282,2.630,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,18.0,2960,420,35,166,2777,1,16,48,202.02,1.076,1.164,0.072,0.041,0.063,-0.885,1.577,0.3627,2.4345,0.755,0.072,0.048,0.124,-0.076,60,115,154,0,6,0,113854.02,2530.669,46080.975,22.841,1699.937,6.387,18757.828,11913.076,69.192,18897.760,15118.208,5436.636,1189.244,800.705,0.000251,0.006748,273,0,143,11,153,142,63402,61,11,19.490,4,0,0,0,0,0,0,142,47,47,1,0,44,2,79648,2074,209,52968.309,45942.604,1676.516,2.101,19.490,17990.107,10353.492,1430.681,448,253,108,140,5,45042,789,14,3,186.184,99.106,19.181,0.000,0.000,174.764,57.126,1.367,0,6,4,2,0,2471,311,2,0,50.000,17.843,0.000,0.000,0.000,57.371,13.227,0.457,0,2,2,0,0,1058,239,4,0,65.000,11.327,0.000,1.250,0.000,50.877,11.058,1.760,0,2,1,0,1,1051,34,0,0,0.000,0.000,0.000,0.000,0.000,4.425,1.876,0.000,0,1,0,1,0,515,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571,19.0,3081,414,35,166,2902,0,13,52,187.62,1.085,1.172,0.074,0.040,0.062,-0.887,1.581,0.3601,2.4500,0.726,0.054,0.046,0.124,-0.078,36,159,198,0,4,0,118605.91,2595.851,48688.261,38.640,1436.030,6.131,19963.875,12916.238,74.277,20118.340,16094.672,7258.583,1394.505,939.723,0.000135,0.007768,213,0,185,13,198,185,67085,16,13,35.270,0,0,0,0,0,0,0,111,43,41,0,0,29,12,84803,2191,197,55641.894,48541.571,1435.375,2.949,35.270,19270.441,11198.129,1607.829,469,339,151,184,4,58031,558,9,0,155.000,98.482,0.000,0.422,0.000,129.369,43.438,2.401,0,5,4,1,0,2341,253,2,0,32.500,10.058,0.000,0.000,0.000,43.189,11.390,1.105,0,2,2,0,0,1012,191,5,0,90.000,14.946,0.000,0.000,0.000,41.669,8.906,0.049,0,1,1,0,0,552,18,0,0,0.000,0.000,0.000,0.000,0.000,2.234,1.060,0.000,0,1,1,0,0,514,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,20.0,3316,377,29,169,3134,0,13,62,186.21,1.090,1.182,0.076,0.038,0.060,-0.889,1.582,0.3648,2.4561,0.731,0.095,0.043,0.124,-0.079,38,121,189,0,6,0,125204.05,2708.191,52640.524,38.102,1408.586,6.878,21202.603,13833.523,89.437,23089.333,18471.467,7078.857,1046.493,919.902,0.000225,0.007093,195,0,179,10,189,179,70934,0,10,34.887,0,0,0,0,0,0,0,131,68,67,0,0,45,22,89866,2366,195,59940.783,52494.115,1408.586,3.019,34.887,20525.368,12013.021,1713.065,536,303,121,177,5,52257,498,10,0,145.000,92.603,0.000,0.197,0.000,123.372,40.828,2.656,1,2,0,2,0,607,210,4,0,82.500,32.053,0.000,0.000,0.000,38.438,11.167,2.025,0,0,0,0,0,0,180,2,0,32.500,5.690,0.000,0.000,0.000,38.983,8.488,0.104,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,21.0,3432,378,29,175,3245,0,12,70,171.36,1.091,1.185,0.078,0.037,0.060,-0.891,1.580,0.3585,2.4555,0.738,0.063,0.045,0.124,-0.079,40,155,239,0,10,0,130680.90,2872.421,53949.787,23.579,1726.894,5.673,22397.738,14621.208,105.727,21603.312,17282.650,7843.904,1055.870,1023.829,0.000217,0.007761,233,0,232,7,239,232,74385,0,7,20.938,0,0,0,0,0,0,0,134,61,61,0,0,54,7,94711,2421,232,61692.833,53803.953,1721.453,2.641,20.938,21716.737,12673.477,1846.093,507,394,154,230,10,64599,431,7,1,148.367,87.847,5.442,0.000,0.000,109.292,34.592,3.360,0,2,0,2,0,1213,210,7,0,105.000,32.015,0.000,0.000,0.000,38.993,11.115,1.435,0,0,0,0,0,0,155,4,0,65.000,11.274,0.000,0.000,0.000,32.462,6.968,0.167,0,1,1,0,0,606,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,22.0,3572,360,29,180,3382,0,10,83,174.34,1.097,1.188,0.078,0.036,0.060,-0.892,1.592,0.3652,2.4571,0.724,0.061,0.046,0.125,-0.081,38,170,234,0,6,0,136662.00,3009.692,57277.812,25.957,1791.381,7.037,23555.338,15352.000,125.127,23134.659,18507.727,8531.976,1002.016,1138.975,0.000278,0.008754,248,0,226,8,234,226,77873,2,8,22.788,0,0,0,0,0,0,0,109,41,41,0,0,38,3,99266,2564,246,65643.783,57168.433,1789.917,2.952,22.788,22880.986,13296.419,1964.366,537,396,168,222,6,66244,350,5,0,107.500,70.313,0.000,0.217,0.000,87.977,26.687,2.177,0,4,1,3,0,1276,192,2,0,50.000,13.557,0.000,0.000,0.000,36.392,9.274,1.187,0,2,1,1,0,1304,150,1,0,25.000,4.120,0.000,0.000,0.000,31.550,7.137,0.118,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
