tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
31,1.0,444,11342,0,139,140,79,86,1,11.36,0.862,0.805,0.223,0.170,0.215,-0.147,1.524,0.3220,1.2318,0.801,0.468,0.207,0.104,-0.009,32,0,45,0,0,0,25819.14,1273.208,8781.188,71.322,28.915,11.466,2296.212,652.104,0.136,3175.830,2540.664,2414.454,1410.463,249.373,0.000124,-0.001627,24,0,30,15,33,24,3472,9,15,32.809,672,93,60,6,0,45,9
61,2.0,584,9659,0,147,266,78,93,2,20.94,0.899,0.861,0.231,0.152,0.178,-0.290,1.516,0.3225,1.3859,0.832,0.476,0.169,0.109,-0.029,46,0,27,0,0,0,31294.57,1257.890,12734.532,25.891,46.637,16.016,2767.243,803.129,2.158,6387.190,5109.752,1227.077,2281.163,184.679,0.000127,-0.002236,16,0,22,5,18,16,4578,0,5,7.462,626,62,48,0,0,43,5
91,3.0,753,8051,0,139,439,76,99,3,28.17,0.926,0.921,0.211,0.132,0.139,-0.397,1.508,0.3298,1.5505,0.859,0.489,0.114,0.111,-0.038,57,1,30,0,0,0,37030.16,1274.898,15016.513,32.050,176.493,22.507,3733.226,1178.234,3.965,7809.578,6247.662,1255.658,2610.307,244.570,0.000109,-0.003002,27,0,20,10,29,19,6755,2,10,23.933,617,59,45,0,0,42,3
121,4.0,1095,5923,0,143,779,73,100,3,33.60,0.946,0.984,0.166,0.108,0.108,-0.496,1.508,0.3389,1.7968,0.838,0.448,0.096,0.112,-0.053,76,4,41,0,0,0,50180.41,1261.457,27642.863,28.669,321.872,25.134,5212.144,1757.007,5.086,15065.913,12052.731,2004.039,3398.337,392.939,0.000107,-0.002557,58,0,39,2,39,37,10795,16,2,6.349,605,63,49,2,0,41,6
151,5.0,1537,3525,55,144,1222,72,99,3,45.30,0.949,1.032,0.134,0.094,0.087,-0.554,1.506,0.3239,1.9934,0.838,0.417,0.078,0.113,-0.060,86,16,79,0,0,0,65400.62,1260.039,35720.526,58.914,363.472,24.562,7463.944,2701.177,5.086,21011.892,16809.514,3394.472,3546.019,506.194,0.000154,-0.003307,62,0,77,2,63,62,16773,20,2,3.165,571,108,106,14,0,87,5
181,6.0,1915,1640,55,144,1620,64,87,7,61.61,0.940,1.043,0.116,0.083,0.077,-0.600,1.500,0.3366,2.1072,0.884,0.417,0.059,0.116,-0.068,111,31,161,0,0,0,74965.34,1293.592,36184.838,116.760,414.311,25.710,10305.818,3940.243,6.923,21997.088,17597.670,6130.667,2468.785,778.612,0.000184,-0.005734,109,0,158,3,139,137,23311,60,3,8.677,568,118,115,19,0,89,7
211,7.0,2012,985,55,140,1745,54,73,10,89.40,0.917,1.050,0.113,0.074,0.075,-0.622,1.501,0.3260,2.1934,0.877,0.371,0.049,0.116,-0.072,91,71,157,0,0,0,71619.66,1392.737,20255.163,72.004,497.209,19.476,11191.177,4671.839,13.792,11897.665,9518.132,5277.031,765.741,766.465,0.000107,-0.005915,70,0,155,2,135,133,25022,29,2,6.701,469,75,75,13,0,59,3
241,8.0,2107,547,55,146,1849,46,66,11,119.81,0.898,1.061,0.108,0.068,0.075,-0.641,1.502,0.3274,2.2692,0.828,0.336,0.043,0.117,-0.070,94,95,71,0,1,0,70470.28,1384.679,18926.882,58.309,491.322,14.725,11421.572,5045.233,16.815,9757.396,7805.917,2089.953,570.935,423.269,0.000167,-0.006349,68,0,70,1,44,43,26001,8,1,0.743,398,97,97,14,0,82,1
271,9.0,2039,436,55,142,1805,35,57,13,134.87,0.889,1.065,0.102,0.065,0.075,-0.654,1.503,0.3228,2.3276,0.865,0.324,0.035,0.118,-0.069,90,147,75,0,1,0,66662.99,1449.015,15648.140,50.381,434.541,11.113,11337.579,4988.242,18.404,5976.190,4780.952,2661.515,309.886,443.960,0.000111,-0.007119,67,0,69,6,65,59,26527,1,6,21.119,322,34,34,4,0,28,2
301,10.0,1937,446,48,147,1715,27,48,11,149.62,0.886,1.063,0.093,0.062,0.079,-0.666,1.501,0.3263,2.3495,0.838,0.320,0.032,0.119,-0.069,74,139,83,0,4,0,63350.30,1523.950,14634.460,37.569,702.612,14.312,10740.933,4743.747,16.740,4741.839,3793.471,2377.173,173.170,508.532,0.000115,-0.007946,76,0,81,2,77,75,24541,1,2,13.705,210,14,14,5,0,3,6
