tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
31,1.0,501,7694,0,145,183,73,100,0,12.34,0.829,0.836,0.226,0.172,0.204,-0.263,1.567,0.3278,1.4960,0.840,0.469,0.073,0.097,0.015,43,0,38,0,0,0,25259.92,1388.123,7781.058,69.533,75.453,14.564,2332.947,898.924,0.000,4892.362,3913.890,1839.266,853.495,196.076,0.000089,-0.000679,34,0,29,9,16,13,3747,28,9,13.560,805,68,48,8,0,40,0
61,2.0,681,6726,0,148,370,70,93,0,23.22,0.822,0.886,0.201,0.155,0.160,-0.500,1.571,0.3273,1.7703,0.840,0.493,0.084,0.089,0.022,60,0,41,0,0,0,31370.95,1344.514,13548.669,99.821,78.854,19.634,2886.769,1239.528,0.000,7969.637,6375.709,1929.109,1086.837,145.798,0.000112,-0.001626,16,0,35,6,14,11,5755,2,6,8.362,761,113,76,19,0,37,20
91,3.0,1098,5256,0,151,777,73,97,0,28.02,0.805,0.968,0.183,0.158,0.115,-0.663,1.563,0.3333,2.0997,0.859,0.483,0.059,0.081,0.026,89,0,32,0,0,0,45270.78,1418.464,24545.486,63.734,146.876,22.334,4180.771,2065.427,0.000,15868.255,12694.604,1468.335,1084.222,155.451,0.000134,-0.001457,29,0,29,3,14,12,10207,0,3,8.232,727,119,87,16,0,68,3
121,4.0,1796,3221,0,153,1472,75,96,3,34.69,0.796,1.043,0.172,0.159,0.086,-0.748,1.585,0.3182,2.3880,0.811,0.438,0.047,0.076,0.030,102,13,83,0,0,0,66746.55,1417.464,41177.665,89.170,336.790,24.622,6917.163,3929.518,0.397,27815.961,22252.769,3143.706,1324.236,330.316,0.000161,-0.000538,42,0,78,5,53,49,19751,2,5,21.142,793,121,107,17,0,90,0
151,5.0,2197,1577,29,151,1878,69,99,14,53.60,0.800,1.074,0.187,0.165,0.078,-0.763,1.603,0.3115,2.4722,0.815,0.417,0.032,0.076,0.030,136,33,190,0,0,0,74654.00,1421.688,34377.929,151.243,412.297,20.306,9777.895,5417.231,10.160,22070.567,17656.454,6303.437,1521.810,598.766,0.000151,0.000569,39,0,180,10,127,122,27167,1,10,31.436,776,202,172,21,0,149,2
181,6.0,2318,555,29,152,2011,62,93,19,71.10,0.790,1.088,0.192,0.168,0.077,-0.771,1.607,0.3120,2.5071,0.809,0.349,0.026,0.075,0.031,108,61,256,0,3,0,71309.68,1435.797,25301.844,158.285,653.486,20.110,11391.850,6350.296,33.671,15334.898,12267.918,8017.640,522.950,856.860,0.000233,0.001041,66,0,252,4,187,183,30006,2,4,27.736,742,173,170,34,0,133,3
211,7.0,2142,292,29,149,1865,51,77,32,102.66,0.779,1.090,0.185,0.165,0.079,-0.778,1.614,0.3083,2.5267,0.813,0.342,0.025,0.075,0.032,70,154,210,0,7,0,60762.79,1433.850,14222.247,199.871,739.363,11.972,11164.501,6883.615,47.826,6699.361,5359.489,6150.719,242.055,574.268,0.000130,0.000726,68,0,202,8,125,117,28679,0,8,34.784,683,160,150,42,0,106,2
241,8.0,1866,276,29,150,1620,35,61,37,127.39,0.768,1.088,0.174,0.163,0.084,-0.788,1.610,0.3192,2.5600,0.793,0.300,0.026,0.075,0.033,63,233,147,0,7,0,51379.86,1450.609,10244.915,144.973,686.672,10.223,9708.370,6129.829,62.090,3848.703,3078.962,3955.091,152.033,446.281,0.000142,0.000204,81,0,140,7,86,80,24390,5,7,24.496,606,152,141,36,0,100,5
271,9.0,1614,331,29,140,1399,26,49,30,142.98,0.763,1.084,0.162,0.166,0.087,-0.796,1.603,0.3117,2.5731,0.792,0.321,0.028,0.075,0.032,54,188,117,0,9,0,43794.27,1423.763,8729.725,108.816,490.910,9.399,8282.987,5219.067,62.046,2171.279,1737.023,3253.264,218.073,378.197,0.000110,-0.000355,78,0,102,15,76,66,20943,19,15,32.699,492,125,109,26,3,78,1
301,10.0,1402,419,29,142,1196,18,46,26,150.98,0.762,1.070,0.142,0.158,0.095,-0.805,1.603,0.3105,2.5505,0.783,0.310,0.029,0.075,0.032,40,207,95,0,6,0,40343.36,1442.484,9945.785,51.921,371.835,9.510,7049.341,4364.054,48.211,3374.903,2699.922,2266.744,174.704,313.068,0.000088,-0.000865,77,0,92,3,66,64,17880,45,3,3.306,374,67,59,20,0,39,0
