tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore
31,1.0,481,12689,0,157,101,99,124,0,15.33,0.860,0.813,0.188,0.208,0.229,-0.004,1.590,0.3476,1.2867,0.772,0.420,0.256,0.100,0.003,45,0,15,0,0,0,28089.33,1396.214,10920.551,41.395,66.058,14.546,2448.801,653.171,0.000,3447.685,2758.148,828.401,2967.401,95.646,0.000114,0.000201,36,0,10,5,3,3,2846,26,5,2.459,651,62,45,2,0,36,7,671,111,100,6,0,94,0,1379,251,2,2869.073,2631.839,23.412,0.598,0.000,317.350,81.929,3.765,8,3,0,3,0,42,1505,274,5,2957.481,2232.581,19.576,0.000,0.000,290.113,96.813,0.870,13,0,0,0,0,0,1542,303,0,3235.000,1806.610,0.000,2.184,0.000,332.770,87.548,1.536,10,2,0,2,0,28,2141,404,0,4115.000,1693.679,0.000,15.262,0.000,498.942,134.752,9.661,10,3,0,3,0,65,1588,476,0,6615.000,1714.425,0.000,0.000,1.720,337.947,100.961,3.162,22,1,0,1,0,28,1170,227,3,2554.295,209.803,0.537,20.892,0.738,253.650,79.352,10.215,2,1,0,1,0,16,1,0,1,0,6,0,0,1,1,0,0,1
61,2.0,549,11217,0,168,119,120,142,0,31.78,0.871,0.830,0.182,0.193,0.217,-0.008,1.575,0.3329,1.3293,0.798,0.464,0.218,0.100,0.005,77,0,17,0,0,0,30961.20,1450.330,9939.988,51.491,62.505,17.524,2677.294,684.634,0.000,3277.130,2621.704,980.968,3449.173,122.438,0.000121,0.001231,48,0,16,1,6,5,2937,33,1,6.893,600,56,47,5,0,30,12,690,124,122,6,0,116,0,1434,186,0,2060.000,1875.329,0.000,1.559,6.893,325.077,77.373,4.535,11,3,0,3,0,137,1782,291,3,3080.276,2307.856,17.275,0.000,0.000,364.198,111.747,1.489,16,4,0,4,0,198,1657,241,7,2463.721,1382.113,27.301,0.000,0.000,351.850,90.069,2.869,6,2,0,2,0,85,2261,354,0,3932.500,1627.559,0.000,22.095,0.000,523.338,137.149,11.475,12,0,0,0,0,0,2113,448,5,7762.733,2033.586,9.702,10.054,0.000,427.161,129.351,4.012,28,3,0,3,0,142,1064,185,0,2437.500,225.306,0.000,10.892,0.000,223.113,66.736,1.412,0,4,0,4,0,168,0,0,0,0,2,1,0,1,0,0,0,1
91,3.0,660,9560,0,179,161,155,165,0,34.21,0.890,0.844,0.183,0.179,0.198,-0.026,1.587,0.3385,1.3909,0.769,0.436,0.204,0.101,0.006,79,0,7,0,0,0,35569.14,1506.183,12538.793,28.912,93.122,26.632,3175.843,833.901,0.000,4544.784,3635.828,385.476,4071.020,90.757,0.000161,0.002630,67,0,5,2,1,0,3352,32,2,7.652,617,65,50,4,0,44,2,842,156,128,1,4,121,2,1760,225,5,3183.520,2912.375,7.659,0.000,0.000,391.975,88.719,7.543,27,1,0,1,0,1,2337,360,7,4130.366,3069.216,36.534,0.000,4.710,517.274,137.383,7.427,19,0,0,0,0,0,1866,242,10,2555.435,1471.651,3.393,0.000,0.000,393.517,95.783,2.024,8,1,0,1,0,1,2600,324,7,4036.291,1635.243,22.763,2.630,2.942,598.510,156.081,12.672,9,1,0,1,0,68,2956,569,4,10404.201,2786.786,9.481,9.160,0.000,566.643,203.661,2.281,41,2,0,2,0,102,1030,183,2,2304.903,210.511,0.223,9.470,0.000,216.188,65.601,5.889,1,0,0,0,0,0,0,0,0,0,5,1,0,2,1,0,1,6
121,4.0,750,8031,0,186,206,168,190,0,47.40,0.911,0.850,0.170,0.171,0.185,-0.065,1.580,0.3534,1.4442,0.774,0.419,0.179,0.102,0.005,84,3,30,0,0,0,39818.34,1601.544,13233.120,74.312,46.371,20.722,3826.175,1130.181,0.000,4918.071,3934.457,1324.697,3297.062,98.044,0.000138,0.003696,44,0,25,5,15,12,4510,29,5,11.771,1000,243,224,8,0,203,13,1081,161,135,8,0,127,0,2328,206,9,3265.279,2964.969,20.583,0.084,5.105,507.882,128.872,25.139,28,5,0,5,0,250,2985,392,3,4274.251,3117.145,16.480,7.606,5.520,676.838,193.776,14.474,30,8,1,7,0,573,2378,285,0,3555.000,2096.688,0.000,9.037,0.000,505.132,133.477,6.268,18,4,0,4,0,68,2989,328,1,4408.160,1848.658,2.032,10.222,0.275,680.442,182.567,10.387,8,3,2,1,0,240,3828,512,2,10043.727,2596.396,6.561,24.293,0.871,725.657,304.882,15.425,26,6,0,6,0,345,999,157,0,1965.000,169.973,0.000,11.299,0.000,210.288,61.066,1.702,1,2,0,2,0,187,0,0,0,0,7,1,0,6,0,0,2,5
151,5.0,891,6487,64,197,253,198,243,0,54.97,0.928,0.872,0.157,0.163,0.172,-0.083,1.584,0.3448,1.5127,0.759,0.381,0.161,0.103,0.005,96,3,34,0,0,0,44499.13,1639.995,15947.028,71.226,250.620,19.265,4558.781,1448.874,0.000,7029.346,5623.477,1619.278,3556.765,387.896,0.000106,0.004315,68,0,28,6,28,24,5852,38,6,21.266,1349,417,386,2,1,376,7,1367,505,474,12,0,459,3,2758,198,0,3182.500,2889.054,0.000,1.862,13.890,594.027,157.015,41.168,26,7,1,6,0,365,4098,452,7,5946.877,4376.123,60.940,8.533,5.343,923.167,288.633,19.709,41,9,0,9,0,211,3248,359,4,5322.847,3152.924,54.936,21.421,0.000,721.341,232.498,17.679,34,3,0,3,0,15,3220,333,4,4831.195,1973.574,46.069,6.650,0.000,716.689,196.202,10.818,16,7,1,6,0,812,4481,491,13,10507.610,2767.218,48.289,11.494,2.033,839.047,346.737,17.954,42,4,1,3,0,329,1029,120,2,1710.480,166.855,0.594,0.000,0.000,214.331,65.011,0.421,2,1,0,1,0,143,0,0,0,0,12,1,0,7,4,0,2,12
181,6.0,1037,4998,64,214,336,217,270,1,74.93,0.943,0.883,0.142,0.170,0.164,-0.125,1.591,0.3449,1.5791,0.728,0.341,0.136,0.102,0.004,97,21,33,0,0,0,49532.88,1786.590,17701.186,85.260,255.891,22.878,5539.065,1851.644,0.069,8190.092,6552.074,1677.026,3579.049,254.415,0.000129,0.003029,97,0,28,5,20,18,6726,57,5,21.829,1241,384,341,9,3,320,9,1620,773,733,4,0,727,2,3219,224,6,3683.626,3314.553,71.972,0.886,14.629,697.087,202.493,36.000,29,7,5,2,0,1153,5418,563,10,8172.196,6011.245,35.061,13.560,0.000,1268.564,429.136,37.774,70,14,5,9,0,1003,4182,317,12,4552.986,2681.337,53.097,3.728,0.000,979.863,332.194,35.554,27,2,1,1,0,150,3510,288,4,4392.202,1827.376,4.305,6.132,4.886,796.702,216.622,10.325,15,9,5,4,0,1234,5293,528,8,11621.341,3122.707,14.334,13.652,2.314,994.315,403.032,16.896,36,10,1,9,0,809,965,94,0,1265.000,127.630,0.000,25.473,0.000,201.055,64.573,9.502,1,7,4,3,0,1022,0,0,0,0,2,0,0,7,0,0,0,1
211,7.0,1209,3607,64,227,448,251,283,2,99.59,0.961,0.904,0.132,0.166,0.153,-0.159,1.597,0.3533,1.6763,0.732,0.313,0.124,0.105,0.005,91,41,37,0,0,0,55686.23,1949.108,19322.535,48.309,931.697,20.489,6537.526,2315.810,1.174,10290.840,8232.672,1608.114,2112.652,533.148,0.000112,0.003862,175,0,32,5,30,28,8321,111,5,6.368,933,225,209,2,0,194,13,1634,657,632,11,1,619,1,3975,198,13,4015.469,3490.537,150.284,1.176,0.000,858.942,240.289,52.585,46,12,7,5,0,1451,7497,680,25,11577.170,8336.682,182.765,19.796,0.000,1792.151,704.392,93.465,108,26,10,16,0,2433,4751,299,14,4491.797,2625.094,75.881,13.834,3.432,1140.225,371.645,39.714,25,11,7,4,0,960,3535,207,4,2803.014,1166.729,9.678,3.291,0.000,801.701,217.288,7.587,6,11,10,1,0,1723,6159,568,5,12146.455,3219.442,32.449,3.845,2.199,1132.480,454.318,9.269,46,12,6,6,0,1546,882,64,3,867.590,78.256,3.172,0.000,0.737,172.136,56.577,4.437,1,1,1,0,0,204,0,0,0,0,5,0,0,1,1,0,0,1
241,8.0,1370,2413,64,234,589,266,281,6,106.82,0.976,0.917,0.122,0.157,0.143,-0.208,1.598,0.3535,1.7376,0.724,0.286,0.104,0.107,0.002,113,37,75,0,0,0,61315.66,2188.916,21561.791,106.631,609.405,18.245,7725.384,2996.895,5.909,11412.503,9130.003,2890.139,1717.429,609.658,0.000147,0.003376,158,0,71,4,65,61,10887,83,4,13.495,963,249,232,7,0,216,9,1653,753,704,19,0,683,2,5321,303,11,6227.738,5541.696,77.737,7.408,3.454,1161.506,390.329,96.751,82,29,10,19,0,2314,10257,791,30,13479.152,9745.340,260.860,23.541,10.042,2453.805,1006.062,175.239,127,41,4,37,0,1900,5080,267,13,4340.681,2566.146,58.221,30.123,0.000,1254.420,400.372,38.236,14,13,8,5,0,1822,3502,161,5,2493.087,1032.569,25.336,7.416,0.000,788.949,226.991,10.502,10,11,5,6,0,1495,6891,422,14,9154.725,2386.425,48.138,19.828,0.000,1244.257,518.786,12.301,29,10,7,3,0,1832,799,48,2,653.324,51.138,0.792,4.820,0.000,149.299,47.947,4.885,0,4,3,1,0,893,0,0,0,0,1,0,0,3,0,0,0,0
271,9.0,1502,1740,64,245,712,259,286,8,108.47,0.988,0.922,0.116,0.150,0.138,-0.251,1.593,0.3546,1.7786,0.739,0.290,0.089,0.109,0.001,98,38,59,0,1,0,64123.00,2351.020,18814.901,89.239,916.470,17.460,8643.164,3545.700,9.685,9578.533,7662.827,2312.499,1462.285,558.783,0.000131,0.002628,206,0,55,4,43,40,13676,85,4,5.939,1499,538,491,8,1,462,20,1770,672,620,9,0,590,21,6650,227,30,4690.251,4023.795,218.203,3.579,2.845,1428.437,524.681,119.214,49,18,5,12,1,1842,12827,679,63,13443.398,9518.630,495.480,25.879,0.000,3072.676,1251.463,213.529,121,27,9,18,0,2390,5152,218,12,4088.413,2403.405,79.597,5.071,2.498,1291.245,424.928,27.138,24,16,7,9,0,2314,3352,126,6,1672.666,684.934,10.354,14.459,0.000,741.015,221.881,11.525,3,9,7,2,0,1497,7128,318,8,7318.595,1912.230,23.081,31.326,0.596,1281.005,606.889,28.984,18,21,8,13,0,2779,723,31,2,398.768,33.260,2.679,2.986,0.000,130.276,41.535,2.929,0,3,2,1,0,786,0,0,0,0,2,0,0,0,0,0,0,1
301,10.0,1660,1074,60,252,879,243,286,8,143.98,1.007,0.945,0.100,0.135,0.131,-0.297,1.598,0.3563,1.8482,0.757,0.270,0.077,0.109,-0.002,91,61,70,0,1,0,68881.84,2615.875,22961.398,108.136,796.311,18.695,9584.519,4170.959,12.438,12260.922,9808.738,2752.646,1393.895,559.928,0.000182,0.001884,127,0,58,12,52,44,17017,8,12,28.855,1649,646,626,11,0,588,27,1796,667,607,8,0,591,8,7416,210,18,4318.040,3678.571,172.859,4.834,0.000,1598.164,601.489,129.368,46,21,4,17,0,1411,16183,873,44,19086.808,13780.306,368.234,18.828,14.364,3864.855,1662.397,294.622,177,37,25,11,1,4624,5508,246,41,5323.799,3095.628,214.456,10.890,9.108,1409.110,505.814,25.690,30,17,10,7,0,2692,3059,106,3,1768.366,756.682,4.482,9.635,1.975,646.459,210.500,13.942,6,18,10,8,0,3610,7011,270,13,5577.707,1423.547,36.089,27.380,3.407,1239.764,578.632,42.481,12,22,9,13,0,3036,587,32,0,467.500,33.921,0.000,7.716,0.000,103.573,30.459,2.374,0,5,3,2,0,1298,0,0,0,0,2,0,0,4,0,0,0,1
331,11.0,1694,945,60,263,941,217,273,16,140.04,1.015,0.949,0.094,0.124,0.132,-0.323,1.608,0.3625,1.9005,0.728,0.240,0.066,0.110,-0.001,101,72,99,0,2,0,67452.59,2780.336,18313.328,141.606,829.563,16.437,10383.790,4662.374,15.775,8686.523,6949.219,4163.293,1014.940,687.038,0.000181,0.003116,116,0,92,7,77,71,20677,5,7,29.061,1743,629,598,7,0,565,26,1802,834,748,19,0,723,6,7640,180,11,4063.035,3479.816,145.140,12.732,20.711,1652.266,628.385,141.183,39,38,18,20,0,4365,19909,673,43,15016.479,10669.375,444.714,33.415,6.169,4736.878,2089.834,389.310,123,62,23,37,2,6516,5589,176,44,3692.891,2110.471,193.605,10.023,0.000,1447.652,498.730,32.467,16,20,6,14,0,2634,2829,64,6,1174.876,493.643,13.253,40.353,0.000,593.196,195.200,14.378,3,12,6,6,0,2491,6470,234,7,5257.078,1379.166,25.500,16.022,2.182,1138.100,533.095,38.974,8,28,13,15,0,5315,393,15,0,182.500,17.444,0.000,0.000,0.000,69.449,26.367,0.192,0,6,6,0,0,1670,0,0,0,0,0,0,0,0,0,0,0,0
361,12.0,1707,899,60,273,979,191,264,21,141.70,1.018,0.948,0.090,0.120,0.135,-0.347,1.609,0.3690,1.8990,0.732,0.198,0.061,0.110,-0.004,93,56,116,0,0,0,67064.52,3089.888,18909.586,141.785,1023.661,14.157,10494.672,5021.552,26.759,7782.881,6226.305,3996.976,701.640,731.156,0.000206,0.004967,135,0,106,10,102,93,21708,4,10,33.680,1728,627,588,10,0,564,14,1722,693,631,11,0,598,22,7819,225,25,5126.085,4400.090,191.900,12.141,15.151,1692.407,646.051,119.662,42,34,13,21,0,3672,21069,646,73,14757.938,10218.758,689.518,48.520,17.761,5034.390,2449.240,438.292,104,73,16,57,0,7959,5456,175,20,3658.958,2184.618,96.144,10.391,0.000,1420.037,522.196,29.494,17,22,9,13,0,2914,2644,87,2,1574.995,665.367,5.480,3.933,0.000,547.571,186.100,12.118,0,5,3,2,0,1187,5716,200,11,4808.766,1270.820,34.392,31.051,0.767,981.959,478.805,40.371,2,25,12,13,0,4788,274,15,0,200.000,16.704,0.000,2.069,0.000,47.635,20.309,2.265,0,3,3,0,0,855,0,0,0,0,1,0,0,0,0,0,0,0
391,13.0,1764,889,60,293,1044,169,258,27,156.65,1.023,0.946,0.084,0.114,0.139,-0.376,1.612,0.3646,1.9306,0.700,0.177,0.059,0.111,-0.007,99,84,92,0,7,0,70207.52,3363.610,21958.225,85.296,1132.851,12.562,10733.389,5269.144,36.553,10044.022,8035.218,2989.755,555.319,671.176,0.000249,0.006957,148,0,87,5,78,76,22900,9,5,7.229,1495,513,480,10,0,431,39,1670,691,641,5,0,633,3,8347,282,43,6833.513,5684.875,435.697,6.435,0.000,1810.181,732.221,159.852,76,35,15,20,0,4536,21764,707,55,16605.788,11791.790,492.334,44.537,5.074,5239.018,2605.447,400.885,109,88,43,40,5,12034,5448,219,21,4790.929,2862.614,109.632,4.974,0.000,1430.085,583.206,28.153,24,19,11,8,0,3786,2453,77,3,1218.020,492.487,21.982,1.219,0.000,513.578,183.120,10.619,1,9,3,6,0,2446,5199,142,17,3354.832,845.115,43.025,20.902,2.155,880.463,433.569,32.631,4,25,11,13,1,4897,229,11,0,187.500,14.460,0.000,0.000,0.000,36.799,16.385,0.113,0,1,1,0,0,380,0,0,0,0,3,0,0,6,0,0,0,0
421,14.0,1862,853,60,313,1162,141,246,33,161.93,1.032,0.948,0.083,0.114,0.141,-0.411,1.621,0.3682,1.9452,0.674,0.163,0.058,0.112,-0.009,91,86,101,0,2,0,74444.55,3629.445,24998.493,141.403,1517.300,14.919,11276.184,5517.484,47.963,12042.226,9633.781,3621.565,825.019,835.638,0.000204,0.008397,241,0,92,9,79,73,23580,65,9,27.377,973,290,269,10,0,228,31,1592,559,521,18,0,497,6,9474,302,29,7036.608,6032.204,287.316,5.142,5.317,2038.127,840.845,166.716,76,35,9,26,0,3816,23435,870,108,21633.679,15058.032,906.078,46.594,19.489,5673.803,2808.210,423.309,162,82,44,37,1,9901,5424,176,25,3986.828,2383.977,100.700,16.981,0.000,1452.821,605.530,23.550,19,26,13,12,1,4344,2159,74,3,1104.717,449.142,2.740,12.344,0.000,461.031,156.177,9.578,0,8,6,2,0,1932,4434,126,11,3079.753,796.276,33.010,32.965,2.571,743.851,353.868,26.842,1,29,14,15,0,7635,210,12,0,247.500,22.347,0.000,0.000,0.000,32.385,14.156,0.206,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0
451,15.0,1996,828,58,346,1297,116,237,45,175.81,1.039,0.943,0.082,0.114,0.145,-0.442,1.626,0.3736,1.9543,0.668,0.127,0.051,0.113,-0.013,73,71,136,0,2,0,80000.70,4021.232,28941.739,128.528,1722.254,14.486,11976.904,5723.136,63.713,14447.396,11557.917,4956.715,824.890,1100.530,0.000170,0.010645,276,0,133,3,124,122,24983,46,3,6.532,804,282,257,5,0,225,27,1522,551,523,13,0,499,11,10540,334,45,7937.330,6780.323,336.093,14.944,0.000,2267.597,972.371,180.497,77,41,8,33,0,4500,25735,1003,129,25326.673,17689.283,1046.445,72.787,5.134,6274.235,2975.817,428.277,202,106,39,67,0,15000,5336,210,37,5137.597,3034.750,217.647,12.141,0.000,1448.684,583.976,24.885,25,19,8,11,0,3967,1859,47,8,927.241,363.756,39.543,12.320,0.000,392.004,130.877,9.545,0,13,6,6,1,4178,3669,120,11,2885.111,747.704,26.654,9.803,1.399,619.448,289.681,16.167,2,25,10,15,0,7760,190,8,0,95.000,9.732,0.000,0.000,0.000,29.764,13.637,0.412,0,1,0,1,0,314,0,0,0,0,4,0,0,6,0,0,1,0
481,16.0,2129,713,58,347,1457,104,221,52,155.66,1.055,0.957,0.080,0.112,0.139,-0.460,1.619,0.3638,1.9907,0.686,0.144,0.048,0.114,-0.016,76,55,171,0,4,0,85980.09,4576.934,32321.891,200.523,1945.131,12.942,13120.676,6432.176,78.176,15500.541,12400.433,6434.973,689.293,1264.547,0.000204,0.011760,327,0,148,23,159,137,27078,51,23,51.846,623,219,193,8,0,159,26,1296,558,540,12,0,525,3,11776,339,43,8186.947,6991.292,334.935,20.416,9.086,2549.342,1069.010,188.674,83,54,10,43,1,7087,29438,1239,196,30891.747,21520.409,1339.631,84.533,40.686,7240.157,3493.023,552.383,231,105,22,81,2,11499,5424,195,25,4638.389,2780.596,148.365,12.528,1.540,1491.105,624.289,23.962,18,18,9,8,1,3769,1493,36,1,571.244,252.446,1.525,7.012,0.534,313.523,99.740,10.400,3,14,6,8,0,4008,3176,106,11,2525.163,626.200,27.374,24.188,0.000,524.400,242.942,16.795,4,12,4,8,0,3774,118,2,0,50.000,7.895,0.000,0.000,0.000,18.919,8.870,0.052,0,4,4,0,0,1781,0,0,0,0,0,0,0,5,0,0,0,0
511,17.0,2257,622,58,372,1585,93,207,61,161.56,1.060,0.957,0.081,0.115,0.141,-0.472,1.613,0.3774,1.9955,0.669,0.132,0.039,0.115,-0.015,76,46,222,0,1,0,90055.34,4966.949,33527.969,224.950,2129.885,11.047,14125.706,7045.282,94.679,16776.225,13420.980,8112.071,533.420,1378.220,0.000167,0.012726,389,0,206,16,210,196,30270,150,16,38.539,594,205,184,2,0,155,27,1227,559,540,24,0,515,1,12090,324,36,8159.611,6962.205,383.025,22.588,16.755,2612.003,1111.720,169.595,78,59,9,50,0,8919,33473,1306,172,32899.500,23113.398,1258.975,112.508,20.104,8271.470,4020.787,669.332,246,139,22,117,0,16197,5205,174,24,4280.959,2540.422,157.150,30.698,0.000,1449.086,603.002,32.084,23,33,9,24,0,6186,1316,28,1,614.131,255.161,0.724,15.854,0.381,276.384,80.941,9.989,3,5,1,4,0,1412,2907,83,6,2005.822,520.168,15.859,4.764,1.299,480.644,227.081,10.317,5,16,5,11,0,5346,60,2,0,50.000,5.535,0.000,0.000,0.000,10.291,3.762,0.000,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0
541,18.0,2389,629,58,387,1723,79,200,74,176.82,1.070,0.966,0.079,0.115,0.140,-0.486,1.619,0.3784,2.0422,0.665,0.109,0.036,0.115,-0.016,98,67,207,0,3,0,94842.75,5488.791,35079.355,227.725,2672.040,13.275,15041.204,7617.077,110.294,17416.476,13933.181,7859.307,399.227,1498.058,0.000162,0.014107,445,0,185,22,195,175,33524,136,22,44.960,502,192,155,4,0,132,19,1036,474,449,20,0,429,0,12320,326,46,8061.576,6849.014,390.508,16.758,15.861,2676.518,1141.873,180.262,90,60,10,50,0,8599,37089,1366,218,35266.303,24439.351,1689.342,119.619,19.563,9180.632,4506.471,781.529,262,151,37,113,1,20850,4980,196,32,4858.742,2913.827,174.657,25.211,8.550,1419.635,566.268,29.187,18,22,8,14,0,5559,1123,23,7,489.527,190.302,23.828,10.057,0.000,243.920,71.946,9.359,1,8,4,3,1,3443,2516,58,6,1367.613,357.416,11.327,11.120,0.986,415.663,202.357,10.607,1,14,8,5,1,4377,60,2,0,50.000,5.535,0.000,0.000,0.000,10.384,2.970,0.000,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1
571,19.0,2566,653,58,412,1882,63,209,79,175.71,1.082,0.968,0.075,0.116,0.139,-0.498,1.621,0.3822,2.0403,0.652,0.092,0.031,0.116,-0.018,107,71,207,0,5,0,102098.67,5885.743,39271.987,225.803,2554.035,14.163,16205.895,8290.549,124.715,19706.086,15764.869,7582.021,610.639,1372.575,0.000279,0.015446,460,0,183,24,203,179,36820,126,24,67.131,436,133,127,4,0,110,13,1044,561,543,14,0,527,2,13282,387,60,9912.707,8356.771,494.802,25.122,25.961,2892.705,1263.888,220.659,99,59,17,42,0,8195,40501,1522,222,38999.492,27272.228,1634.284,92.607,41.170,10076.017,4949.545,829.478,277,158,43,113,2,22952,5198,186,48,4711.807,2783.162,220.448,26.996,0.000,1535.781,627.958,30.805,30,18,7,10,1,4007,985,31,2,659.455,271.944,3.211,0.000,0.000,223.887,70.759,7.763,3,6,2,4,0,2725,2021,62,2,1352.026,351.569,2.952,13.947,0.000,326.788,160.505,6.681,0,15,1,14,0,4682,50,0,0,0.000,0.000,0.000,0.000,0.000,8.978,2.460,0.000,0,1,1,0,0,544,0,0,0,0,3,0,0,3,0,0,0,0
601,20.0,2760,540,47,422,2068,53,217,99,168.96,1.096,0.974,0.077,0.108,0.136,-0.505,1.643,0.3742,2.0406,0.671,0.076,0.028,0.117,-0.017,81,59,257,0,4,0,108553.94,6365.116,43060.145,308.591,3164.475,14.656,17710.480,9281.554,148.951,22075.056,17660.045,9390.885,515.917,1815.788,0.000221,0.016114,585,0,219,38,248,210,40229,143,38,99.556,418,127,121,9,0,85,27,946,501,473,8,0,463,2,13664,377,64,9663.516,8258.169,420.002,34.508,7.265,2991.288,1335.263,230.748,102,80,13,67,0,12788,45476,1707,307,44314.992,30783.443,2152.051,128.410,92.291,11372.438,5631.135,1010.963,330,164,33,128,3,26461,5455,218,63,5768.309,3342.647,328.001,10.611,0.000,1654.715,706.599,19.364,33,22,8,14,0,4897,859,19,3,380.510,149.311,4.365,0.000,0.000,209.266,63.133,4.615,0,5,1,4,0,1831,1723,45,5,1100.452,277.121,13.929,35.506,0.000,272.875,138.076,14.585,1,10,4,5,1,3508,25,0,0,0.000,0.000,0.000,0.000,0.000,4.969,1.385,0.000,0,1,0,1,0,596,0,0,0,0,8,0,0,6,0,0,0,0
631,21.0,2800,575,47,421,2140,42,197,112,166.77,1.106,0.978,0.078,0.105,0.135,-0.511,1.655,0.3786,2.0556,0.688,0.071,0.026,0.118,-0.017,74,80,333,0,9,0,110455.30,6922.766,41956.244,360.439,3272.316,14.193,18806.416,10019.262,171.451,20019.904,16015.923,11901.988,376.828,2058.171,0.000147,0.015376,604,0,300,33,324,293,43210,133,33,76.745,317,57,49,7,0,29,12,899,536,520,7,0,508,5,13744,365,58,9347.874,7854.025,476.983,26.018,24.457,3030.481,1346.258,251.795,89,85,11,73,1,10230,49597,1674,324,43873.696,30523.592,2196.195,217.498,50.953,12447.117,6183.456,1158.790,321,249,54,190,5,35991,5513,189,74,5135.988,2881.240,375.341,15.216,0.000,1702.265,742.941,28.952,15,34,8,25,1,8121,730,16,8,359.132,130.471,11.297,0.000,0.000,180.523,60.537,1.637,1,6,3,3,0,3060,1441,43,7,1136.042,293.134,16.826,24.963,1.334,227.242,110.934,9.868,1,12,3,9,0,5248,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0
